ticker,config,total_return,ann_return,ann_vol,sharpe,max_drawdown,n_trades,exposure,cost_drag,gross_return
NVDA,buy_and_hold,8.106937605991765,2.044553920389674,0.5050784328255638,4.047992920528821,-0.27046757832963175,1,1.0,0.0047103986492267325,8.111648004640992
NVDA,xgb_default,3.923302590641277,1.2330440512320342,0.41794594246419103,2.950247689837734,-0.23283226446529204,191,0.582,0.49322407004106505,4.416526660682342
NVDA,xgb_tuned,3.9778713509382264,1.245484227525273,0.47250134087088613,2.635937974757217,-0.2565677452180253,69,0.886,0.17479264876663336,4.15266399970486
NVDA,xgb_tuned_volscale,5.570808366130108,1.5827351664429705,0.48602169733028133,3.256511335063722,-0.22946287071268567,61,0.908,0.20236292278612478,5.773171288916233
NVDA,xgb_tuned_decay,4.645371440511716,1.3925059748255428,0.47697349764571917,2.9194619443192886,-0.2879621410351051,59,0.88,0.16892349976228171,4.814294940273998
JPM,buy_and_hold,0.8523518203152838,0.3643714785518002,0.2218062048898698,1.642747004001607,-0.1348657364284146,1,1.0,0.0009268445246446433,0.8532786648399284
JPM,xgb_default,0.12151295611877111,0.05950098478943655,0.17191155038764078,0.3461139443816816,-0.16028717907613732,181,0.488,0.10629707793649756,0.22781003405526867
JPM,xgb_tuned,0.15860100253495513,0.0770173153858722,0.17718018333059024,0.43468357430339744,-0.12481862028906865,111,0.558,0.06617644178962756,0.2247774443245827
JPM,xgb_tuned_volscale,0.109644052152158,0.053834906067508737,0.17367814775443063,0.30996937014567727,-0.1662195585101479,103,0.446,0.058781803839789815,0.16842585599194781
JPM,xgb_tuned_decay,0.49322700770245564,0.22393800798009145,0.20839995529722727,1.0745588100568604,-0.18016717998328302,79,0.838,0.060274678193632525,0.5535016858960882
XOM,buy_and_hold,0.07640005829246022,0.0378025922589067,0.22227661746062524,0.17007003566447185,-0.18731123018173534,1,1.0,0.0005266794051241863,0.0769267376975844
XOM,xgb_default,0.020731084979251246,0.010395296290383271,0.14917586085250545,0.0696848419776267,-0.18201823146378682,184,0.494,0.0984333734461067,0.11916445842535794
XOM,xgb_tuned,0.0887786165538782,0.043800618194704155,0.2165470308071563,0.2022683849852014,-0.16586092704330735,41,0.954,0.02252781555747041,0.11130643211134861
XOM,xgb_tuned_volscale,-0.02216806416395045,-0.01123481684106542,0.20740732541880968,-0.05416788832496337,-0.15689622295675298,63,0.882,0.031311795980185075,0.009143731816234624
XOM,xgb_tuned_decay,0.21678499215670666,0.10394586632251679,0.21377912506392419,0.4862301980674442,-0.1557583388040782,39,0.934,0.02395303205394539,0.24073802421065205
KO,buy_and_hold,0.051371535146498726,0.025569584061380546,0.13133053178450602,0.1946964176109212,-0.1726647313015922,1,1.0,0.0005320399461563596,0.051903575092655085
KO,xgb_default,-0.00142709317110834,-0.0007195096976269078,0.08987898265612493,-0.008005316441773005,-0.11946411390374267,175,0.508,0.09134184923591715,0.08991475606480881
KO,xgb_tuned,-0.07253787871782535,-0.037241690925044924,0.10634705814373355,-0.35019013760315637,-0.15300438926820936,108,0.674,0.051505693343076975,-0.02103218537474838
KO,xgb_tuned_volscale,-0.053871564528282234,-0.0275240986896933,0.09646114075810314,-0.285338722654295,-0.14209322455244633,132,0.554,0.06464490862016226,0.010773344091880022
KO,xgb_tuned_decay,0.06053538060659025,0.030065120219003427,0.10440156834052859,0.28797575263370995,-0.1485650425279087,75,0.614,0.04054148866642282,0.10107686927301307
