ticker,fold,config,rmse_ret,rmse_vs_zero,dir_acc,mean_abs_pred,fit_secs
MSFT,2,xgb_tuned_decay,0.012803081516836992,0.9930551440463627,0.52,0.0008490458034793847,0.12
MSFT,3,xgb_default,0.01345970767663362,1.0701993116384318,0.54,0.004978550830346648,0.14
MSFT,3,xgb_tuned,0.01262133290443833,1.0035390151703267,0.53,0.0013236247254099,0.14
MSFT,3,xgb_tuned_volscale,0.012620884618371093,1.0035033713471397,0.53,0.001431635978395187,0.14
MSFT,3,xgb_tuned_decay,0.012734580417471017,1.012543475995486,0.53,0.0016587639829958789,0.12
MSFT,4,xgb_default,0.013294427681545345,1.0730684243670336,0.62,0.0043482144993322435,0.14
MSFT,4,xgb_tuned,0.012412713594250557,1.001900295203488,0.54,0.0007746585113818583,0.15
MSFT,4,xgb_tuned_volscale,0.012449465557181887,1.004866753925879,0.56,0.000887222657293591,0.15
MSFT,4,xgb_tuned_decay,0.01238789363996106,0.9998969363617032,0.6,0.0007686870001634815,0.13
SPY,0,xgb_default,0.009552264698471383,0.9918101224449563,0.62,0.003227520443879257,0.13
SPY,0,xgb_tuned,0.009573997561548938,0.9940666421573423,0.56,0.0003448655495367348,0.13
SPY,0,xgb_tuned_volscale,0.009562117819340509,0.992833170415689,0.56,0.0005028073767184395,0.13
SPY,0,xgb_tuned_decay,0.009622333370589122,0.9990853415125112,0.54,0.0003821885039087647,0.11
SPY,1,xgb_default,0.009097779868599467,1.2847187689827706,0.494949494949495,0.004248582209511369,0.14
SPY,1,xgb_tuned,0.007119629493311288,1.0053795288925114,0.5252525252525253,0.0005671650993326694,0.13
SPY,1,xgb_tuned_volscale,0.007158205006737673,1.0108268673462666,0.48484848484848486,0.0006044972670740593,0.14
SPY,1,xgb_tuned_decay,0.0071617068441648685,1.0113213699978612,0.47474747474747475,0.0005294238579608646,0.11
SPY,2,xgb_default,0.008082146347293416,1.0874840817181153,0.48,0.003017596219197003,0.14
SPY,2,xgb_tuned,0.007355070645725195,0.9896532311391402,0.52,0.0002805430255213537,0.14
SPY,2,xgb_tuned_volscale,0.007375808026903683,0.9924435260631709,0.52,0.00045263937469808534,0.13
SPY,2,xgb_tuned_decay,0.007378033667224238,0.9927429945850499,0.48,0.00014687593392352484,0.12
SPY,3,xgb_default,0.008994757154037534,1.0928945648931419,0.49,0.002459673528901476,0.14
SPY,3,xgb_tuned,0.008202013331229543,0.9965734079722389,0.6,0.0005697869689356594,0.15
SPY,3,xgb_tuned_volscale,0.008224723268140091,0.9993327450164262,0.51,0.0005061004244434887,0.15
SPY,3,xgb_tuned_decay,0.008237939675903477,1.0009385849479169,0.59,0.0009212312684394419,0.11
SPY,4,xgb_default,0.008988781429292561,1.1230362294958969,0.47,0.002855934689141577,0.14
SPY,4,xgb_tuned,0.00802028888972435,1.0020351551581497,0.55,0.0005549144740507472,0.14
SPY,4,xgb_tuned_volscale,0.007998773291102365,0.9993470492183346,0.59,0.0006311213147539306,0.15
SPY,4,xgb_tuned_decay,0.008000469078879554,0.9995589167697152,0.61,0.0007309847565193195,0.12
GOOGL,0,xgb_default,0.024073386309139168,1.0788418485037392,0.48,0.0062197192474559414,0.13
GOOGL,0,xgb_tuned,0.02243904560137421,1.0055993421272813,0.45,0.0011726295610424132,0.13
GOOGL,0,xgb_tuned_volscale,0.022429874697366077,1.005188350715208,0.45,0.001185668238948825,0.13
GOOGL,0,xgb_tuned_decay,0.022705401644342003,1.0175360111968268,0.47,0.002070526145398617,0.11
