ticker,fold,config,feat_set,n_features,horizon,n_train,n_test,eff_test,rmse_ret,rmse_rw,rmse_ratio,dir_acc,dir_baseline,dir_edge
SPY,4,ext_h20,ext,29,20,625,81,4.0,0.04064888487653291,0.02748929714449634,1.4787167770373957,0.4567901234567901,0.9135802469135802,-0.4567901234567901
GOOGL,0,base_h1,base,18,1,444,100,100.0,0.024073386309139168,0.022314101313855115,1.0788418485037392,0.48,0.54,-0.06000000000000005
GOOGL,1,base_h1,base,18,1,544,100,100.0,0.01606144519366036,0.015379979539897996,1.0443086190065818,0.46,0.54,-0.08000000000000002
GOOGL,2,base_h1,base,18,1,644,100,100.0,0.01921451756101076,0.018527633920466625,1.0370734678530844,0.6,0.58,0.020000000000000018
GOOGL,3,base_h1,base,18,1,744,100,100.0,0.019134851841203757,0.018407034901135606,1.03954015103341,0.47,0.6,-0.13
GOOGL,4,base_h1,base,18,1,844,100,100.0,0.019905766192399366,0.01702068966564851,1.1695040908109366,0.5050505050505051,0.5858585858585859,-0.08080808080808077
GOOGL,0,ext_h1,ext,29,1,244,100,100.0,0.03057102728668253,0.022314101313855115,1.3700317506267026,0.52,0.54,-0.020000000000000018
GOOGL,1,ext_h1,ext,29,1,344,100,100.0,0.022536321990254113,0.015379979539897996,1.4653024688226328,0.42,0.54,-0.12000000000000005
GOOGL,2,ext_h1,ext,29,1,444,100,100.0,0.01941993225585675,0.018527633920466625,1.0481604040332664,0.59,0.58,0.010000000000000009
GOOGL,3,ext_h1,ext,29,1,544,100,100.0,0.019970959018416872,0.018407034901135606,1.0849633917510952,0.46,0.6,-0.13999999999999996
GOOGL,4,ext_h1,ext,29,1,644,100,100.0,0.02304808568653639,0.01702068966564851,1.3541217271032493,0.48484848484848486,0.5858585858585859,-0.101010101010101
GOOGL,0,ext_h5,ext,29,5,240,100,20.0,0.08189904470191887,0.052631160670074235,1.556094216035144,0.3434343434343434,0.6767676767676768,-0.33333333333333337
GOOGL,1,ext_h5,ext,29,5,340,100,20.0,0.048927445052875725,0.03556314340202949,1.3757907871013328,0.4,0.49,-0.08999999999999997
GOOGL,2,ext_h5,ext,29,5,440,100,20.0,0.04217473170972787,0.041200033216129986,1.0236577113538898,0.63,0.62,0.010000000000000009
GOOGL,3,ext_h5,ext,29,5,540,100,20.0,0.041495828140447645,0.03381797624243151,1.227034635158999,0.47,0.58,-0.10999999999999999
GOOGL,4,ext_h5,ext,29,5,640,96,19.2,0.0575890841453193,0.040805854009847875,1.4112946669715831,0.5,0.59375,-0.09375
GOOGL,0,ext_h20,ext,29,20,225,100,5.0,0.18054566630199945,0.10766076143786464,1.6769867116925383,0.25,0.77,-0.52
GOOGL,1,ext_h20,ext,29,20,325,100,5.0,0.10921293698624966,0.051721385389487805,2.111562483561139,0.36,0.57,-0.20999999999999996
GOOGL,2,ext_h20,ext,29,20,425,100,5.0,0.07340388290264721,0.06984808869711542,1.0509075376557675,0.52,0.72,-0.19999999999999996
GOOGL,3,ext_h20,ext,29,20,525,100,5.0,0.08849934825852054,0.07576355575230116,1.1680991920159787,0.45,0.67,-0.22000000000000003
GOOGL,4,ext_h20,ext,29,20,625,81,4.0,0.07027539074799159,0.07048109555935167,0.9970814186452756,0.6790123456790124,0.7283950617283951,-0.04938271604938271
AMZN,0,base_h1,base,18,1,444,100,100.0,0.02726826701312695,0.02359412832607858,1.155722586410931,0.52,0.57,-0.04999999999999993
AMZN,1,base_h1,base,18,1,544,100,100.0,0.02395734158687703,0.019121489546195147,1.2529014295146341,0.35714285714285715,0.5204081632653061,-0.163265306122449
AMZN,2,base_h1,base,18,1,644,100,100.0,0.018395404880971702,0.018353529164386456,1.0022816165877515,0.58,0.53,0.04999999999999993
AMZN,3,base_h1,base,18,1,744,100,100.0,0.02111069646838765,0.017144721976146877,1.2313233482443493,0.5050505050505051,0.5252525252525253,-0.02020202020202022
AMZN,4,base_h1,base,18,1,844,100,100.0,0.01849995931242772,0.018110448542478945,1.02150751645025,0.53,0.55,-0.020000000000000018
