number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_abs_pred,state
21,0.018687227645897895,2026-07-20 12:15:18.151961,2026-07-20 12:15:22.236841,0 days 00:00:04.084880,0.556098496535858,0.10631932942271861,7,21.545692485246256,527,0.03607801551891175,1.9708106143818986,0.5921257787688773,0.007465941652929662,COMPLETE
22,0.016531702887036696,2026-07-20 12:15:22.236841,2026-07-20 12:15:24.011466,0 days 00:00:01.774625,0.613848845036192,0.020625642075148762,5,8.435586200187606,432,0.7119075365893486,0.3117555377800391,0.6907670542494437,0.0010926392934052273,COMPLETE
23,0.017341146612626576,2026-07-20 12:15:24.011466,2026-07-20 12:15:28.493067,0 days 00:00:04.481601,0.6358358963685322,0.0332714743464489,6,35.67598233519967,518,0.10452206469664233,0.07519509074353897,0.9397871084308528,0.004680513908103421,COMPLETE
24,0.01655581031907969,2026-07-20 12:15:28.493067,2026-07-20 12:15:32.729446,0 days 00:00:04.236379,0.6946840600635387,0.003946956238486734,4,5.035283346811895,468,0.0024597384298785845,36.159771536315915,0.8106452018417596,0.0017091196817171788,COMPLETE
25,0.016503864112793275,2026-07-20 12:15:32.729446,2026-07-20 12:15:36.055776,0 days 00:00:03.326330,0.5023455120181812,0.001609904295299309,3,15.18526310390414,555,0.051147520747136424,7.825181268552129,0.6150823886253666,0.0010676731575264096,COMPLETE
26,0.016586145945137066,2026-07-20 12:15:36.055776,2026-07-20 12:15:38.083775,0 days 00:00:02.027999,0.5512163660700143,0.008671064212649763,2,3.748461457830972,401,0.06441837124210852,6.2288444722248615,0.5434080270689025,0.0018764090855085366,COMPLETE
27,0.01894970214312437,2026-07-20 12:15:38.083775,2026-07-20 12:15:43.721068,0 days 00:00:05.637293,0.7390135402481219,0.1576258197199696,7,14.492566359205137,556,0.024355807388576924,0.3690050010506078,0.7201219900800487,0.007628623514881383,COMPLETE
28,0.016697012934758854,2026-07-20 12:15:43.721068,2026-07-20 12:15:46.435545,0 days 00:00:02.714477,0.5916204960409672,0.042581297740594076,5,9.451651313394018,580,0.419124494327743,1.3262418663697102,0.616545470906328,0.0021536464090804656,COMPLETE
29,0.016518983303238213,2026-07-20 12:15:46.435545,2026-07-20 12:15:47.480202,0 days 00:00:01.044657,0.5823837459197899,0.0028596201110166622,8,17.098039947580222,247,1.547723904271705,5.964339834894851,0.7845001925533673,0.000740445353895969,COMPLETE
30,0.01651897160492806,2026-07-20 12:15:47.480202,2026-07-20 12:15:48.602943,0 days 00:00:01.122741,0.6733715214773275,0.10765097706850235,6,6.816016369716428,286,3.5866542452862507,0.02779342498538603,0.6909421186065914,0.000740307613305049,COMPLETE
31,0.016505893684459514,2026-07-20 12:15:48.602943,2026-07-20 12:15:51.403921,0 days 00:00:02.800978,0.5075767449631147,0.001700862526479251,3,23.970160942942737,481,0.0028506640448257145,10.743015849802516,0.6218132560316335,0.0010574677297706028,COMPLETE
32,0.016510633434697154,2026-07-20 12:15:51.403921,2026-07-20 12:15:54.258947,0 days 00:00:02.855026,0.5369487434650929,0.0014546029028940208,3,40.84919136080883,542,0.002343645346415818,39.953887029078224,0.5518638632727149,0.0008652187719586853,COMPLETE
33,0.016504015749271354,2026-07-20 12:15:54.258947,2026-07-20 12:15:57.942757,0 days 00:00:03.683810,0.6219469140731019,0.0010075615418074513,4,18.303643850251348,489,0.013074807889996973,0.12030378681756215,0.6862117584263523,0.0010422941181808861,COMPLETE
34,0.016640207293626422,2026-07-20 12:15:57.942757,2026-07-20 12:16:01.286627,0 days 00:00:03.343870,0.5683054483918301,0.005421365548961053,4,28.389356172401843,470,0.013904673623097186,4.799343170992077,0.6771346376386613,0.0022082332548760252,COMPLETE
35,0.016506453462887514,2026-07-20 12:16:01.286627,2026-07-20 12:16:03.668079,0 days 00:00:02.381452,0.5080976720599699,0.0010175365698418723,2,12.06278909809698,510,0.0024379715759761562,9.34720582126253,0.6331995435232266,0.0008527600439219896,COMPLETE
36,0.016519954137952368,2026-07-20 12:16:03.668079,2026-07-20 12:16:06.124199,0 days 00:00:02.456120,0.5392508692937532,0.0027129083746463526,3,20.711976088545622,401,0.009716217966365702,3.627410499722568,0.7108205000426832,0.0013346360372380084,COMPLETE
37,0.016523874490695558,2026-07-20 12:16:06.124199,2026-07-20 12:16:08.967879,0 days 00:00:02.843680,0.8466743730518109,0.0016575248985776483,4,61.89447774733864,485,0.0050804239532356785,0.08756225699509258,0.6066870753464051,0.001018194893888449,COMPLETE
38,0.01653921822135869,2026-07-20 12:16:08.967879,2026-07-20 12:16:12.465404,0 days 00:00:03.497525,0.6193746600973394,0.001594014391566015,3,1.011157525044445,545,0.0011581346981179021,1.7002271123448982,0.7678965090711055,0.0012700080344499153,COMPLETE
39,0.01661371917469882,2026-07-20 12:16:12.465404,2026-07-20 12:16:14.578813,0 days 00:00:02.113409,0.9899226356996808,0.010773740341844607,2,33.60284877799292,369,0.022742408496436023,35.8744098899311,0.6496245523902405,0.0019360633065107322,COMPLETE
